source,ticker,query,query_class,expected_page_family,expected_url,ranking_url,impressions,clicks,ctr,position,ownership_status,status,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_is_correct,route_breakdown
"google","FTV","fortive revenue 2023","REVENUE","REVENUE","/stocks/FTV/revenue","/stocks/FTV/revenue","2","0","0","68","CORRECT","CORRECT","2","0","2","1","0","/stocks/FTV/revenue","2","yes","/stocks/FTV/revenue=2"
"google","GEHC","ge healthcare revenue","REVENUE","REVENUE","/stocks/GEHC/revenue","/stocks/GEHC/revenue","2","0","0","55","CORRECT","CORRECT","2","0","2","1","0","/stocks/GEHC/revenue","2","yes","/stocks/GEHC/revenue=2"
"google","GOOGL","googl shares outstanding 2025","SHARES","SHARES","/stocks/GOOGL/shares-outstanding","/stocks/GOOGL/shares-outstanding","2","0","0","9","CORRECT","CORRECT","2","0","2","1","0","/stocks/GOOGL/shares-outstanding","2","yes","/stocks/GOOGL/shares-outstanding=2"
"google","GOOGL","google forward pe","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","48.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","GOOGL","google historical pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","30.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","GOOGL","google net income","NET_INCOME","NET_INCOME","/stocks/GOOGL/net-income","/stocks/GOOGL/net-income","2","0","0","53.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/GOOGL/net-income","2","yes","/stocks/GOOGL/net-income=2"
"google","GOOGL","google price per earnings ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","40.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","GOOGL","google price to earnings ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","37.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","GOOGL","google shares outstanding","SHARES","SHARES","/stocks/GOOGL/shares-outstanding","/stocks/GOOGL/shares-outstanding","2","0","0","46.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/GOOGL/shares-outstanding","2","yes","/stocks/GOOGL/shares-outstanding=2"
"google","GOOGL","google stock pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","40.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","HBAN","hban ex dividend date","DIVIDEND","DIVIDEND","/stocks/HBAN/dividend-history","/stocks/HBAN/dividend-history","2","0","0","62.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/HBAN/dividend-history","2","yes","/stocks/HBAN/dividend-history=2"
